Strike,Call,Put
2150,260.0,35.25
2175,238.85000609999997,38.95000076
2200,218.14999390000003,43.0
2225,197.9499969,47.59999847
2250,178.1499939,52.64999962
2275,159.0,58.35000038
2300,140.5500031,64.70000076
2325,122.84999850000001,71.84999847
2350,106.0500031,79.79999924
2375,90.20000076,88.79999924
2400,75.45000076,98.79999924
2425,61.94999886,110.15000149999999
2450,49.69999886,122.75
2475,39.04999924,136.8500061
2500,29.84999943,152.5
2550,16.04999971,187.9499969
2600,7.9499998089999995,229.4499969
2650,3.799999952,275.89999389999997
2700,1.899999976,323.6500092
2800,0.650000006,421.6000061000001
